checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,installment_commitment,residence_since,age,existing_credits,duration,credit_amount,num_dependents,class
0<=X<200,existing paid,business,100<=X<500,4<=X<7,female div/dep/mar,none,real estate,none,rent,unskilled resident,none,yes,2,4,23,1,12,841,1,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,4,3,30,1,6,2063,1,good
0<=X<200,existing paid,radio/tv,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,4,4,38,1,6,368,1,good
>=200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,stores,own,unskilled resident,none,yes,1,1,45,1,18,3049,1,good
no checking,critical/other existing credit,education,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,4,54,2,24,1597,2,good
0<=X<200,delayed previously,new car,<100,unemployed,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,4,47,1,6,1209,1,bad
<0,all paid,radio/tv,<100,1<=X<4,male div/sep,none,no known property,none,for free,skilled,none,yes,4,1,29,1,12,2149,1,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,1,27,2,18,1295,1,good
no checking,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,4,4,63,1,15,1520,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,male single,none,real estate,none,own,unskilled resident,none,yes,2,2,31,2,18,1928,1,bad
>=200,existing paid,furniture/equipment,no known savings,>=7,female div/dep/mar,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,3,4,55,1,12,1424,1,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,3,4,43,1,18,2515,1,good
>=200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,car,none,own,skilled,none,yes,2,4,26,1,24,3749,1,good
0<=X<200,critical/other existing credit,education,<100,>=7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,2,3,34,2,9,1501,1,bad
no checking,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,none,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes,4,3,32,2,18,629,1,good
no checking,existing paid,new car,500<=X<1000,>=7,female div/dep/mar,none,no known property,none,for free,skilled,none,yes,1,4,35,1,15,5324,1,good
0<=X<200,delayed previously,furniture/equipment,no known savings,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes,4,2,29,1,24,2333,1,good
no checking,delayed previously,radio/tv,no known savings,>=7,male single,none,no known property,none,for free,skilled,none,yes,3,4,36,1,7,846,1,good
<0,existing paid,radio/tv,<100,<1,female div/dep/mar,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,yes,4,4,28,1,21,2606,1,good
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,3,2,40,2,30,3077,2,good
<0,existing paid,new car,<100,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,4,2,26,1,12,759,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,1,3,23,2,10,2146,1,good
no checking,critical/other existing credit,new car,>=1000,1<=X<4,female div/dep/mar,none,real estate,bank,own,unskilled resident,none,yes,2,2,41,2,6,250,1,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,yes,yes,3,2,31,1,24,3430,2,good
no checking,critical/other existing credit,radio/tv,>=1000,1<=X<4,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,4,1,43,2,24,1516,1,good
>=200,critical/other existing credit,new car,500<=X<1000,unemployed,male single,none,no known property,bank,for free,unemp/unskilled non res,none,yes,2,4,66,3,12,1480,1,good
0<=X<200,existing paid,new car,<100,4<=X<7,male mar/wid,none,car,bank,own,unskilled resident,none,yes,2,3,25,1,12,685,1,bad
no checking,delayed previously,repairs,>=1000,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,4,55,2,12,1555,2,bad
<0,existing paid,furniture/equipment,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,4,39,1,20,2212,1,good
<0,existing paid,new car,<100,<1,female div/dep/mar,none,car,none,rent,skilled,yes,yes,4,3,23,1,18,1216,1,bad
0<=X<200,existing paid,business,100<=X<500,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,3,4,39,1,12,1037,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,bank,rent,skilled,none,yes,1,4,20,1,18,2039,1,bad
no checking,existing paid,furniture/equipment,<100,<1,female div/dep/mar,co applicant,car,none,rent,skilled,none,yes,2,2,19,2,9,1980,1,bad
no checking,critical/other existing credit,used car,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,3,35,2,24,2346,1,good
no checking,no credits/all paid,furniture/equipment,<100,>=7,male single,none,life insurance,none,own,skilled,none,yes,2,4,34,2,12,2759,1,good
no checking,critical/other existing credit,used car,no known savings,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,30,1,36,11054,1,good
no checking,no credits/all paid,repairs,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,4,2,27,2,36,2613,1,good
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,life insurance,none,own,unskilled resident,none,yes,2,2,30,2,24,2028,1,good
no checking,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,4,4,36,2,42,4042,1,good
no checking,delayed previously,business,100<=X<500,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,1,2,34,2,6,1743,1,good
<0,all paid,new car,<100,unemployed,female div/dep/mar,co applicant,no known property,none,rent,unemp/unskilled non res,none,yes,1,4,29,2,24,1193,1,bad
no checking,existing paid,radio/tv,>=1000,4<=X<7,male div/sep,none,real estate,none,own,unskilled resident,none,yes,2,4,61,1,12,3059,1,good
no checking,existing paid,radio/tv,100<=X<500,>=7,male single,none,car,none,own,skilled,none,yes,2,4,31,2,24,3621,1,bad
<0,all paid,retraining,<100,>=7,male mar/wid,none,car,bank,own,unskilled resident,none,yes,4,1,45,1,12,339,1,good
0<=X<200,existing paid,business,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,skilled,yes,yes,1,2,35,1,14,1410,1,good
no checking,existing paid,business,100<=X<500,1<=X<4,female div/dep/mar,none,life insurance,none,rent,unskilled resident,none,yes,3,4,24,1,18,1568,1,good
no checking,existing paid,new car,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,none,no,4,3,32,1,18,2662,1,good
no checking,delayed previously,used car,<100,4<=X<7,male single,none,car,none,own,unskilled resident,yes,yes,3,3,35,2,24,4679,1,good
no checking,existing paid,radio/tv,<100,>=7,male single,none,car,none,own,skilled,none,yes,4,2,28,1,36,3595,1,good
>=200,all paid,business,<100,<1,female div/dep/mar,none,real estate,none,own,unemp/unskilled non res,none,yes,4,1,26,1,12,609,1,bad
0<=X<200,critical/other existing credit,other,<100,1<=X<4,male single,co applicant,car,none,own,high qualif/self emp/mgmt,yes,yes,2,3,39,2,24,11938,2,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,4,30,1,24,3069,1,good
no checking,delayed previously,new car,no known savings,>=7,male mar/wid,none,car,none,own,skilled,yes,yes,4,4,54,2,24,717,1,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male mar/wid,guarantor,real estate,none,own,unskilled resident,none,yes,4,2,25,1,18,866,1,good
0<=X<200,critical/other existing credit,retraining,no known savings,4<=X<7,female div/dep/mar,none,life insurance,none,own,unskilled resident,none,yes,1,3,39,2,6,932,1,good
no checking,delayed previously,business,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,3,4,26,2,27,5117,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,real estate,bank,own,skilled,none,yes,4,3,26,1,18,1345,1,bad
0<=X<200,existing paid,used car,no known savings,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,4,4,36,1,24,2760,1,good
<0,all paid,furniture/equipment,<100,>=7,male single,none,car,bank,own,skilled,none,yes,4,4,31,1,36,2746,1,bad
no checking,existing paid,radio/tv,no known savings,4<=X<7,male mar/wid,none,life insurance,none,rent,skilled,yes,yes,2,4,29,1,42,7166,1,good
<0,critical/other existing credit,new car,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,no,1,4,39,2,8,3398,1,good
0<=X<200,no credits/all paid,business,no known savings,1<=X<4,male single,none,car,bank,own,high qualif/self emp/mgmt,yes,yes,2,2,48,1,48,12204,1,good
<0,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,3,2,29,1,15,3959,1,bad
<0,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,4,4,25,2,9,1138,1,good
<0,existing paid,business,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,3,4,24,1,48,4308,1,bad
<0,all paid,used car,<100,1<=X<4,female div/dep/mar,guarantor,car,bank,rent,skilled,none,no,1,4,22,1,24,3632,1,good
no checking,existing paid,used car,no known savings,>=7,male single,none,no known property,bank,for free,skilled,none,yes,4,4,45,1,15,1300,2,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,1,1,28,2,6,1382,1,good
<0,no credits/all paid,used car,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,3,4,24,2,48,4605,2,bad
<0,critical/other existing credit,repairs,<100,unemployed,male single,co applicant,car,none,own,unemp/unskilled non res,none,yes,4,4,65,2,42,3394,1,good
no checking,critical/other existing credit,new car,no known savings,>=7,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,2,4,63,1,60,13756,1,good
no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,1,2,24,1,6,2080,1,good
<0,existing paid,domestic appliance,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,yes,yes,4,3,47,1,18,1217,1,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,guarantor,real estate,none,own,skilled,yes,yes,4,4,49,2,12,1092,1,good
no checking,critical/other existing credit,new car,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,4,37,1,24,2022,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,2,2,24,1,18,3190,1,bad
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,car,none,own,skilled,yes,yes,4,4,46,2,15,1829,1,good
no checking,delayed previously,business,500<=X<1000,1<=X<4,male single,none,car,none,own,skilled,yes,yes,4,2,44,2,24,2375,2,good
no checking,existing paid,radio/tv,100<=X<500,4<=X<7,male single,none,no known property,none,own,skilled,none,yes,3,1,35,1,12,2141,1,good
no checking,existing paid,radio/tv,<100,<1,male single,none,real estate,none,own,skilled,none,yes,4,1,33,1,18,2051,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,4,2,40,1,12,701,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,4,4,28,1,24,4169,1,good
no checking,existing paid,furniture/equipment,no known savings,4<=X<7,female div/dep/mar,none,real estate,bank,rent,unskilled resident,none,yes,1,4,33,1,15,2186,1,good
0<=X<200,critical/other existing credit,new car,>=1000,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,4,4,40,2,11,1322,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,co applicant,life insurance,none,own,skilled,none,yes,2,3,30,1,12,1620,1,good
no checking,existing paid,new car,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,yes,yes,2,2,31,1,24,1393,1,good
no checking,delayed previously,furniture/equipment,500<=X<1000,4<=X<7,female div/dep/mar,none,car,none,own,skilled,yes,yes,2,4,40,2,36,7678,1,good
<0,all paid,other,no known savings,>=7,male single,none,car,stores,own,high qualif/self emp/mgmt,yes,yes,4,3,40,1,24,1358,1,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,4,2,37,1,12,1922,1,bad
0<=X<200,existing paid,repairs,<100,<1,male mar/wid,none,life insurance,none,own,unskilled resident,none,yes,3,1,22,1,6,454,1,good
>=200,existing paid,new car,<100,4<=X<7,male single,none,no known property,bank,for free,skilled,none,yes,4,3,38,1,24,947,2,bad
<0,critical/other existing credit,used car,100<=X<500,4<=X<7,male mar/wid,none,car,none,rent,skilled,none,yes,1,4,24,2,30,6187,1,good
no checking,existing paid,repairs,no known savings,>=7,male single,none,life insurance,none,own,skilled,yes,yes,4,4,48,4,27,5190,2,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,4,2,50,1,12,1574,1,good
no checking,existing paid,business,>=1000,>=7,male div/sep,none,real estate,none,own,skilled,yes,yes,1,2,28,1,11,2142,1,good
>=200,critical/other existing credit,education,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,unskilled resident,none,yes,2,4,50,1,6,1047,1,good
no checking,existing paid,new car,<100,>=7,female div/dep/mar,co applicant,no known property,none,for free,skilled,yes,yes,4,4,62,1,24,3757,1,good
no checking,critical/other existing credit,used car,no known savings,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,2,4,46,2,24,6842,2,good
0<=X<200,existing paid,radio/tv,<100,<1,female div/dep/mar,guarantor,life insurance,none,own,unskilled resident,none,yes,2,4,23,1,13,2101,1,good
no checking,existing paid,used car,500<=X<1000,1<=X<4,male single,none,life insurance,none,rent,skilled,none,yes,2,4,50,1,6,1236,1,good
no checking,existing paid,new car,<100,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,3,2,27,2,12,1101,1,good
0<=X<200,no credits/all paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,4,3,25,2,12,2969,1,bad
0<=X<200,existing paid,radio/tv,500<=X<1000,unemployed,female div/dep/mar,none,no known property,none,rent,unemp/unskilled non res,none,yes,1,4,23,1,24,3758,1,good
no checking,existing paid,used car,100<=X<500,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,45,1,39,8588,1,good
<0,existing paid,new car,<100,>=7,male single,none,no known property,bank,own,high qualif/self emp/mgmt,yes,yes,1,4,68,1,6,14896,1,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,1,1,22,1,12,1567,1,good
0<=X<200,all paid,education,>=1000,<1,female div/dep/mar,none,life insurance,bank,rent,skilled,none,yes,4,2,24,1,6,433,2,bad
>=200,critical/other existing credit,new car,no known savings,4<=X<7,male single,none,real estate,bank,own,unskilled resident,none,yes,4,2,37,2,24,1344,2,bad
0<=X<200,existing paid,business,100<=X<500,>=7,male div/sep,none,car,bank,rent,unskilled resident,none,yes,4,2,61,2,21,2767,1,bad
0<=X<200,existing paid,radio/tv,100<=X<500,<1,male mar/wid,none,car,none,rent,skilled,yes,yes,3,2,22,1,24,3092,1,bad
0<=X<200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,1,2,26,1,48,9960,1,bad
<0,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,co applicant,no known property,none,rent,unskilled resident,yes,yes,4,4,23,2,36,6229,1,bad
no checking,existing paid,radio/tv,<100,>=7,male single,none,car,none,own,skilled,none,yes,4,4,38,1,12,804,1,good
0<=X<200,existing paid,other,<100,1<=X<4,male single,co applicant,car,bank,own,high qualif/self emp/mgmt,yes,yes,2,3,29,2,24,11328,1,bad
>=200,existing paid,radio/tv,<100,1<=X<4,male single,co applicant,real estate,stores,own,skilled,none,yes,4,2,37,1,18,2100,1,bad
no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,4,4,26,1,24,3181,1,good
>=200,critical/other existing credit,new car,100<=X<500,>=7,male div/sep,none,car,none,own,skilled,yes,yes,2,4,28,2,6,1323,2,good
0<=X<200,existing paid,radio/tv,no known savings,unemployed,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,2,1,52,1,12,6468,1,bad
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes,4,4,39,1,36,2299,1,good
<0,existing paid,new car,no known savings,4<=X<7,female div/dep/mar,none,no known property,none,rent,skilled,none,yes,4,4,32,1,24,1285,1,bad
<0,critical/other existing credit,other,<100,>=7,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,3,4,51,2,8,1164,2,good
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,4,4,53,2,24,2424,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,2,4,37,3,9,1154,1,good
0<=X<200,existing paid,used car,<100,unemployed,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,3,4,38,1,18,12976,1,bad
<0,existing paid,radio/tv,<100,unemployed,male single,none,car,stores,own,high qualif/self emp/mgmt,none,yes,4,2,30,1,24,1823,2,bad
<0,delayed previously,radio/tv,<100,<1,male mar/wid,none,real estate,stores,own,skilled,none,yes,4,4,48,1,24,1024,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,2,4,28,1,24,3660,1,good
0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid,none,car,none,own,high qualif/self emp/mgmt,none,yes,4,2,28,2,30,5234,1,bad
no checking,existing paid,new car,no known savings,unemployed,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,4,4,38,1,12,2859,1,good
no checking,all paid,new car,no known savings,1<=X<4,male single,guarantor,real estate,stores,own,unskilled resident,none,yes,1,2,26,1,6,783,2,good
0<=X<200,critical/other existing credit,new car,100<=X<500,<1,male div/sep,none,car,none,own,skilled,yes,yes,4,2,37,1,24,3878,1,good
>=200,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,own,unemp/unskilled non res,none,no,1,1,74,3,6,1299,2,good
<0,existing paid,new car,<100,1<=X<4,male single,none,car,none,own,unskilled resident,none,yes,3,2,45,1,28,4006,1,bad
0<=X<200,critical/other existing credit,business,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,2,3,27,2,21,3652,1,good
no checking,critical/other existing credit,new car,100<=X<500,4<=X<7,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,3,51,2,12,682,1,good
0<=X<200,existing paid,radio/tv,100<=X<500,<1,male single,none,car,none,own,skilled,none,yes,2,1,29,1,24,2896,1,good
0<=X<200,no credits/all paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,bank,own,skilled,yes,yes,1,4,33,2,18,3244,1,good
no checking,existing paid,new car,no known savings,4<=X<7,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,4,4,25,1,22,1283,1,good
0<=X<200,all paid,new car,100<=X<500,1<=X<4,male mar/wid,none,life insurance,none,rent,skilled,none,yes,2,2,25,1,15,1264,1,bad
no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,2,4,25,1,24,3972,1,good
0<=X<200,existing paid,new car,no known savings,unemployed,female div/dep/mar,none,real estate,none,rent,unemp/unskilled non res,none,yes,1,2,24,1,12,7472,1,good
<0,critical/other existing credit,repairs,100<=X<500,>=7,male single,guarantor,real estate,none,own,skilled,none,no,3,4,48,2,9,1288,2,good
0<=X<200,critical/other existing credit,new car,<100,<1,male div/sep,none,car,none,own,skilled,none,yes,4,4,27,2,36,2820,1,bad
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,female div/dep/mar,guarantor,real estate,bank,rent,unskilled resident,yes,yes,3,4,48,2,18,1795,1,good
0<=X<200,existing paid,furniture/equipment,>=1000,<1,female div/dep/mar,none,real estate,none,rent,unskilled resident,none,yes,1,4,19,1,12,983,1,good
0<=X<200,critical/other existing credit,used car,100<=X<500,<1,male single,none,life insurance,none,own,skilled,none,yes,3,4,44,1,12,1804,1,good
<0,delayed previously,education,<100,1<=X<4,male single,none,life insurance,stores,own,skilled,yes,yes,4,3,29,1,36,6887,1,bad
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/dep/mar,none,car,none,rent,unskilled resident,none,yes,4,4,29,1,12,1123,1,bad
<0,existing paid,new car,<100,<1,male single,none,real estate,none,own,skilled,none,yes,2,3,36,1,15,1721,1,good
0<=X<200,all paid,radio/tv,<100,1<=X<4,male single,none,real estate,stores,own,unskilled resident,none,yes,4,4,23,1,10,1048,1,good
no checking,critical/other existing credit,education,no known savings,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,3,2,33,2,24,1927,1,good
no checking,critical/other existing credit,education,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,2,3,49,1,12,2096,2,good
<0,critical/other existing credit,new car,no known savings,<1,male single,none,real estate,none,own,unskilled resident,none,yes,1,3,44,2,6,4716,2,good
<0,critical/other existing credit,new car,<100,>=7,male single,co applicant,life insurance,none,rent,skilled,yes,yes,3,4,43,2,12,4843,1,bad
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,2,2,41,1,6,2116,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,none,life insurance,none,own,unskilled resident,none,yes,4,2,25,2,45,4746,1,bad
<0,critical/other existing credit,used car,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,4,4,63,2,24,2957,1,good
<0,existing paid,radio/tv,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,3,30,1,42,7174,1,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,1,4,39,2,11,7228,1,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,guarantor,real estate,none,own,skilled,none,no,4,3,29,2,12,1103,1,good
no checking,delayed previously,furniture/equipment,100<=X<500,4<=X<7,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,4,3,34,2,21,1591,1,good
no checking,delayed previously,furniture/equipment,>=1000,4<=X<7,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,3,2,30,2,15,960,1,good
no checking,delayed previously,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,4,4,34,2,36,4454,1,good
0<=X<200,existing paid,repairs,100<=X<500,1<=X<4,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,3,2,25,1,15,2631,1,good
0<=X<200,delayed previously,other,100<=X<500,unemployed,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,2,4,31,1,48,7582,1,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,guarantor,life insurance,none,own,skilled,none,yes,3,2,28,2,36,5371,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,yes,yes,2,4,63,2,12,1655,1,good
no checking,critical/other existing credit,used car,no known savings,4<=X<7,male single,none,no known property,none,for free,skilled,yes,yes,2,1,35,2,48,8858,1,good
<0,existing paid,radio/tv,<100,4<=X<7,male mar/wid,guarantor,real estate,none,own,skilled,yes,yes,1,1,34,2,48,6999,1,bad
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,bank,own,skilled,yes,yes,3,2,35,2,24,2397,1,bad
no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,2,28,1,24,2284,1,good
no checking,existing paid,used car,no known savings,1<=X<4,male single,none,car,none,own,skilled,none,yes,1,3,26,1,21,5248,1,good
0<=X<200,delayed previously,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,1,1,27,1,60,7418,1,good
>=200,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,car,none,own,skilled,yes,yes,3,2,31,2,24,3148,1,good
<0,existing paid,education,no known savings,>=7,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,4,4,40,1,36,1977,1,bad
0<=X<200,existing paid,education,100<=X<500,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,1,4,47,1,36,12612,2,bad
0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,real estate,none,rent,unskilled resident,none,yes,3,3,28,1,18,6260,1,good
0<=X<200,critical/other existing credit,used car,<100,unemployed,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,34,2,12,1860,1,good
0<=X<200,delayed previously,repairs,>=1000,1<=X<4,male mar/wid,none,life insurance,stores,own,skilled,none,yes,3,3,61,2,15,1512,1,bad
no checking,existing paid,used car,500<=X<1000,1<=X<4,male single,none,car,none,own,skilled,none,yes,4,4,24,1,39,2569,1,good
no checking,existing paid,used car,<100,1<=X<4,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,2,2,32,1,36,4686,1,good
0<=X<200,existing paid,used car,<100,1<=X<4,male mar/wid,none,car,none,rent,skilled,yes,yes,1,3,21,1,18,2779,1,good
<0,critical/other existing credit,new car,<100,4<=X<7,female div/dep/mar,none,life insurance,none,own,skilled,none,no,4,3,37,2,6,609,1,good
no checking,delayed previously,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,3,2,24,1,6,932,1,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,4,4,24,2,18,2124,1,bad
<0,existing paid,new car,<100,unemployed,female div/dep/mar,none,car,none,rent,skilled,none,yes,1,4,23,1,15,2511,1,good
>=200,existing paid,radio/tv,<100,<1,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,2,3,25,1,15,2327,1,bad
<0,existing paid,education,<100,unemployed,female div/dep/mar,none,real estate,none,own,unemp/unskilled non res,none,yes,4,1,27,1,18,750,1,bad
no checking,critical/other existing credit,business,100<=X<500,1<=X<4,male single,none,life insurance,none,own,unskilled resident,yes,yes,3,3,27,2,24,4139,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,4,4,37,1,12,2279,1,good
0<=X<200,delayed previously,new car,no known savings,>=7,male single,none,car,none,own,skilled,none,yes,4,4,43,1,18,2899,2,good
no checking,critical/other existing credit,education,no known savings,<1,male single,none,life insurance,none,own,unskilled resident,none,yes,2,1,37,2,12,3565,2,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,4,4,48,3,9,2134,1,good
no checking,critical/other existing credit,new car,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,skilled,none,yes,1,1,37,1,4,3380,2,good
no checking,critical/other existing credit,new car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,4,34,2,36,6614,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,yes,2,4,21,1,24,1987,2,bad
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,co applicant,real estate,none,own,skilled,yes,yes,1,4,49,1,12,2331,1,good
